 Produção Ambulatorial do SUS - Rio Grande do Sul - por local de atendimento
Qtd.apresentada por Procedimento e Ano/mês atendimento
Município: 430300 Cachoeira do Sul
Documento registro: ..APAC - Procedimento Principal
Período:Jan-Jul/2022
"Procedimento";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"Total"
"0304020214 QUIMIOTERAPIA DO CARCINOMA PULMONAR DE CELULAS NAO PEQUENAS AVANCADO";14;12;14;8;7;9;6;70
"0304020222 QUIMIOTERAPIA DO CARCINOMA PULMONAR INDIFERENCIADO DE CELULAS PEQUENAS AVANCADO";-;-;-;-;1;1;1;3
"0304020265 QUIMIOTERAPIA DE METASTASE DE NEOPLASIA MALIGNA INDIFERENCIADA DE ORIGEM DESCONHECIDA";-;-;-;-;-;-;1;1
"0304020281 QUIMIOTERAPIA DE NEOPLASIA MALIGNA EPITELIAL DE OVARIO OU DE TUBA UTERINA AVANCADA - 2¶¦ LINHA)";-;-;-;1;1;1;1;4
"0304020290 QUIMIOTERAPIA DE SARCOMA DE PARTES MOLES AVANCADO";1;1;1;1;-;-;-;4
"0304020311 QUIMIOTERAPIA DO TUMOR DO ESTROMA GASTROINTESTINAL AVANCADO";1;1;1;1;2;2;2;10
"0304020338 HORMONIOTERAPIA DO CARCINOMA DE MAMA AVANCADO - 2¶¦ LINHA";6;6;6;5;5;4;3;35
"0304020346 HORMONIOTERAPIA DO CARCINOMA DE MAMA AVANCADO- 1¶¦ LINHA";21;20;21;21;22;22;19;146
"0304020370 QUIMIOTERAPIA DO CARCINOMA DE PENIS AVANCADO";-;-;-;-;-;-;1;1
"0304020389 QUIMIOTERAPIA DE CARCINOMA DO FIGADO OU DO TRATO BILIAR AVANCADO";3;3;3;1;3;3;2;18
"0304020400 QUIMIOTERAPIA DE CARCINOMA UROTELIAL AVANCADO";1;-;-;-;1;1;-;3
"0304020419 POLIQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO ¶- 1¶¦ LINHA";3;3;3;3;4;4;3;23
"0304020427 MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO ¶- 1¶¦ LINHA";-;-;1;1;1;-;-;3
"0304020435 POLIQUIMIOTERAPIA COM DUPLO ANTI HER-2 DO CARCINOMA DE MAMA HER-2 POSITIVO 1¶¦ LINHA";1;1;2;2;2;2;1;11
"0304020443 QUIMIOTERAPIA COM DUPLO ANTI-HER-2 DO CARCINOMA DE MAMA HER-2 POSITIVO ¶- 1¶¦ LINHA";1;1;1;1;1;1;1;7
"0304040010 QUIMIOTERAPIA DO ADENOCARCINOMA DE RETO (PREVIA)";2;4;4;2;3;3;1;19
"0304040029 QUIMIOTERAPIA DO CARCINOMA DE MAMA (PREVIA)";1;2;2;3;3;7;4;22
"0304040045 QUIMIOTERAPIA DO CARCINOMA EPIDERMOIDE / ADENOCARCINOMA DO COLO UTERINO";2;2;1;1;1;-;1;8
"0304040053 QUIMIOTERAPIA DO CARCINOMA EPIDERMOIDE DE RETO/ CANAL ANAL/ MARGEM ANAL";1;-;-;-;-;-;-;1
"0304040061 QUIMIOTERAPIA DO CARCINOMA EPIDERMOIDE DE SEIO PARA-NASAL/ LARINGE / HIPOFARINGE/ OROFARINGE /CAVIDA";1;-;-;-;-;-;-;1
"0304040096 QUIMIOTERAPIA DO CARCINOMA PULMONAR DE CELULAS NAO PEQUENAS (PREVIA)";1;-;-;1;1;-;-;3
"0304040118 QUIMIOTERAPIA DE CARCINOMA EPIDERMOIDE / ADENOCARCINOMA DE ESOFAGO";4;4;3;-;1;1;-;13
"0304040134 QUIMIOTERAPIA DE NEOPLASIA MALIGNA EPITELIAL DE OVARIO OU DA TUBA UTERINA - 2¶¦ LINHA";2;2;1;-;-;-;-;5
"0304040142 QUIMIOTERAPIA DE NEOPLASIA MALIGNA EPITELIAL DE OVARIO OU DA TUBA UTERINA - 1¶¦ LINHA";1;1;1;2;1;1;1;8
"0304040169 QUIMIOTERAPIA DE SARCOMA OSSEO / OSTEOSSARCOMA - 1¶¦ LINHA";-;-;-;-;1;-;1;2
"0304040177 QUIMIOTERAPIA DO ADENOCARCINOMA DE ESTOMAGO (PRE-OPERATORIA)";-;1;1;-;1;-;-;3
"0304040185 POLIQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO III (PREVIA)";2;3;2;2;1;2;2;14
"0304040207 HORMONIOTERAPIA PREVIA A RADIOTERAPIA EXTERNA DO ADENOCARCINOMA DE PROSTATA";4;2;2;3;2;2;2;17
"0304050016 QUIMIOTERAPIA INTRA-VESICAL";1;1;2;1;1;2;1;9
"0304050024 QUIMIOTERAPIA DE ADENOCARCINOMA DE COLON";9;6;9;8;8;10;11;61
"0304050032 QUIMIOTERAPIA DO ADENOCARCINOMA DE RETO (ADJUVANTE)";4;3;4;3;4;5;5;28
"0304050040 HORMONIOTERAPIA DO CARCINOMA DE MAMA EM ESTADIO I";142;134;140;140;138;137;135;966
"0304050067 QUIMIOTERAPIA DO CARCINOMA DE MAMA EM ESTADIO III";2;2;3;3;3;3;2;18
"0304050075 QUIMIOTERAPIA DO CARCINOMA DE MAMA EM ESTADIO II";8;9;12;13;10;7;5;64
"0304050113 HORMONIOTERAPIA DO CARCINOMA DE MAMA EM ESTADIO III";43;45;45;44;44;42;45;308
"0304050121 HORMONIOTERAPIA DO CARCINOMA DE MAMA EM ESTADIO II";111;111;111;112;109;114;114;782
"0304050130 QUIMIOTERAPIA DO CARCINOMA DE MAMA EM ESTADIO I";3;3;3;2;1;-;-;12
"0304050172 QUIMIOTERAPIA DO CARCINOMA PULMONAR DE CELULAS NAO PEQUENAS (ADJUVANTE)";-;-;-;-;1;1;1;3
"0304050202 QUIMIOTERAPIA DE NEOPLASIA MALIGNA EPITELIAL DE OVARIO OU DA TUBA UTERINA";2;2;3;2;1;1;2;13
"0304050253 QUIMIOTERAPIA DO ADENOCARCINOMA DE ESTOMAGO (POS OPERATORIA)";1;1;1;1;1;1;1;7
"0304050261 POLIQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO I (ADJUVANTE)";-;-;-;1;1;2;2;6
"0304050288 POLIQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO III (ADJUVANTE)";-;-;1;2;2;2;2;9
"0304050296 MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO I (ADJUVANTE)";2;2;2;2;2;2;3;15
"0304050300 MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO II (ADJUVANTE)";1;1;3;3;3;1;1;13
"0304050318 MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO III (ADJUVANTE)";-;-;-;1;1;1;2;5
"0304050342 HORMONIOTERAPIA ADJUVANTE A RADIOTERAPIA EXTERNA DO ADENOCARCINOMA DE PROSTATA";5;5;6;5;7;5;5;38
"0304060160 QUIMIOTERAPIA DE TUMOR GERMINATIVO DE OVARIO";-;-;-;-;1;1;1;3
"0304060208 QUIMIOTERAPIA DE TUMOR GERMINATIVO DE TESTICULO - 1¶¦ LINHA";-;-;-;-;-;1;1;2
"0304060216 QUIMIOTERAPIA DE TUMOR GERMINATIVO DE TESTICULO - 2¶¦ LINHA";1;1;1;-;-;-;-;3
"0304080071 INIBIDOR DA OSTEOLISE";13;12;12;9;10;8;11;75
"0305010107 HEMODIALISE (MAXIMO 3 SESSOES POR SEMANA)";1325;1237;1419;1378;1379;1414;1352;9504
"0305010115 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (MAXIMO 3 S";90;48;62;65;104;89;91;549
"0405010010 CORRECAO CIRURGICA DE ENTROPIO E ECTROPIO";-;-;-;-;1;2;-;3
"0405010079 EXERESE DE CALAZIO E OUTRAS PEQUENAS LESOES DA PALPEBRA E SUPERCILIOS";2;4;1;-;-;-;2;9
"0405010125 RECONSTITUICAO PARCIAL DE PALPEBRA COM TARSORRAFIA";-;-;1;1;1;1;3;7
"0405040210 REPOSICIONAMENTO DE LENTE INTRAOCULAR";-;-;1;-;-;-;-;1
"0405050046 CICLOCRIOCOAGULACAO / DIATERMIA";-;-;-;1;-;-;-;1
"0405050224 RECONSTITUICAO DE FORNIX CONJUNTIVAL";1;-;1;2;-;-;2;6
"0418010013 CONFECCAO DE FISTULA ARTERIO-VENOSA C/ ENXERTIA DE POLITETRAFLUORETILENO (PTFE)";-;1;-;3;-;-;-;4
"0418010030 CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE";2;4;2;3;5;4;3;23
"0418010048 IMPLANTE DE CATETER DE LONGA PERMANENCIA P/ HEMODIALISE";3;4;4;2;-;2;2;17
"0418020019 INTERVENCAO EM FISTULA ARTERIO-VENOSA";1;3;1;3;1;4;1;14
"0604010010 MESALAZINA 400 MG (POR COMPRIMIDO)";660;600;780;480;780;-;-;3300
"0604010028 MESALAZINA 500 MG (POR COMPRIMIDO)";3120;3480;3120;2630;3600;-;-;15950
"0604010036 MESALAZINA 800 MG - POR COMPRIMIDO¶ÿ";5084;5340;5114;4640;6228;-;-;26406
"0604010044 MESALAZINA 250 MG (POR SUPOSITORIO)";30;30;30;30;30;-;-;150
"0604010052 MESALAZINA 500 MG (POR SUPOSITORIO)";-;-;30;30;30;-;-;90
"0604010060 MESALAZINA 1000 MG (POR SUPOSITORIO)";24;28;56;28;28;-;-;164
"0604010079 MESALAZINA 1 G + DILUENTE 100 ML (ENEMA) - POR DOSE";3;28;28;28;56;-;-;143
"0604010095 SULFASSALAZINA 500 MG (POR COMPRIMIDO)";5820;4830;6240;5430;6840;-;-;29160
"0604020031 DEFERASIROX 500 MG (POR COMPRIMIDO)¶ÿ";176;76;176;132;112;-;-;672
"0604030037 CABERGOLINA 0,5 MG (POR COMPRIMIDO)";152;112;144;128;152;-;-;688
"0604030045 PRAMIPEXOL 0,125 MG (POR COMPRIMIDO)";390;390;450;330;390;-;-;1950
"0604030053 PRAMIPEXOL 0,25 MG (POR COMPRIMIDO)";2250;2400;2250;1660;1950;-;-;10510
"0604030061 PRAMIPEXOL 1 MG (POR COMPRIMIDO)";1755;1680;1560;1560;1725;-;-;8280
"0604040024 FORMOTEROL 12 MCG (POR CAPSULA INALANTE)";630;532;540;510;750;-;-;2962
"0604040040 FORMOTEROL 12 MCG + BUDESONIDA 400 MCG ¶ÿ(POR CAPSULA INALANTE)";24614;23560;24490;24924;26660;-;-;124248
"0604040059  FORMOTEROL 12 MCG + BUDESONIDA 400 MCG PO INALANTE (POR FRASCO DE 60 DOSES)";5;10;9;-;-;-;-;24
"0604040067 FORMOTEROL 6 MCG + BUDESONIDA 200 MCG PO INALANTE (POR FRASCO DE 60 DOSES)";4;4;4;1;-;-;-;13
"0604040075  FORMOTEROL 6MCG + BUDESONIDA 200 MCG (POR CAPSULA INALANTE)";720;360;660;780;660;-;-;3180
"0604050038 CODEINA 30 MG (POR COMPRIMIDO)";-;-;90;-;-;-;-;90
"0604050046 CODEINA 60 MG (POR COMPRIMIDO)";30;-;-;-;-;-;-;30
"0604050062 MORFINA 10 MG/ML SOLUCAO ORAL (POR FRASCO DE 60 ML)";12;10;15;11;21;-;-;69
"0604050070 MORFINA 10 MG (POR COMPRIMIDO)";-;-;-;-;180;-;-;180
"0604050089 MORFINA 30 MG (POR COMPRIMIDO)";180;-;180;-;180;-;-;540
"0604060025 COMPLEMENTO ALIMENTAR P/ PACIENTE FENILCETONURICO MAIOR DE 1 ANO - FORMULA DE AMINOACIDOS ISENTA DE";5500;5500;5500;5500;-;-;-;22000
"0604080026 HIDROXICLOROQUINA 400 MG (POR COMPRIMIDO)";2565;2430;2475;2205;2355;-;-;12030
"0604100019 DESMOPRESSINA 0,1 MG/ML APLICACAO NASAL (POR FRASCO DE 2,5 ML";21;18;21;18;14;-;-;92
"0604110022 GOSSERRELINA 10,80 MG INJETAVEL (POR SERINGA PREENCHIDA)";-;-;2;-;-;-;-;2
"0604110030 LEUPRORRELINA 3,75 MG INJETAVEL (POR FRASCO-AMPOLA)";10;11;14;9;12;-;-;56
"0604110049 LEUPRORRELINA 11,25 MG INJETAVEL (POR FRASCO-AMPOLA)";10;6;7;-;16;-;-;39
"0604130015 DONEPEZILA 5 MG (POR COMPRIMIDO)";60;60;60;60;60;-;-;300
"0604130023 DONEPEZILA 10 MG (POR COMPRIMIDO)";90;112;90;90;120;-;-;502
"0604130031 GALANTAMINA 8 MG (POR CAPSULA DE LIBERACAO PROLONGADA)";26;-;30;-;30;-;-;86
"0604130040 GALANTAMINA 16 MG (POR CAPSULA DE LIBERACAO PROLONGADA)";30;28;30;30;12;-;-;130
"0604130058 GALANTAMINA 24 MG (POR CAPSULA DE LIBERACAO PROLONGADA)";110;50;118;78;28;-;-;384
"0604130066 RIVASTIGMINA 1,5 MG (POR CAPSULA)";360;60;-;-;-;-;-;420
"0604130112 PIRIDOSTIGMINA 60 MG (POR COMPRIMIDO)";-;-;180;1020;852;-;-;2052
"0604130139 RIVASTIGMINA 18 MG ADESIVO TRANSDERMICO";121;141;121;121;151;-;-;655
"0604150016  PRIMIDONA 100 MG (POR COMPRIMIDO)";180;180;180;-;-;-;-;540
"0604160020 PAMIDRONATO 60 MG INJETAVEL (POR FRASCO-AMPOLA)";-;-;1;-;-;-;-;1
"0604160054 RISEDRONATO 35 MG (POR COMPRIMIDO)";-;8;-;8;-;-;-;16
"0604180012 CLOBAZAM 10 MG (POR COMPRIMIDO)";460;744;760;660;700;-;-;3324
"0604180020  CLOBAZAM 20 MG (POR COMPRIMIDO)";-;56;60;40;-;-;-;156
"0604190018 VIGABATRINA 500 MG (POR COMPRIMIDO)";330;393;480;405;405;-;-;2013
"0604200013 AMANTADINA 100 MG (POR COMPRIMIDO)";360;292;300;330;510;-;-;1792
"0604220014 ETOSSUXIMIDA 50 MG/ML (FRASCO DE 120 ML)";4;4;-;-;4;-;-;12
"0604230010 OLANZAPINA 5 MG (POR COMPRIMIDO)";1230;858;1335;1275;1230;-;-;5928
"0604230028 OLANZAPINA 10 MG (POR COMPRIMIDO)";2370;2307;2085;2238;2415;-;-;11415
"0604230036 QUETIAPINA 25 MG (POR COMPRIMIDO)";-;390;1950;1560;1710;-;-;5610
"0604230044 QUETIAPINA 100 MG (POR COMPRIMIDO)";2070;2084;2520;1620;568;-;-;8862
"0604230052 QUETIAPINA 200 MG (POR COMPRIMIDO)";510;510;630;540;840;-;-;3030
"0604230060 QUETIAPINA 300 MG (POR COMPRIMIDO)";120;146;150;180;330;-;-;926
"0604230079 CLOZAPINA 25 MG (POR COMPRIMIDO)";120;210;240;240;240;-;-;1050
"0604230087 CLOZAPINA 100 MG (POR COMPRIMIDO)";5340;5564;5895;4785;5325;-;-;26909
"0604250037 ELTROMBOPAGUE OLAMINA 25 MG (POR COMPRIMIDO)";121;28;121;56;93;-;-;419
"0604250045 ELTROMBOPAGUE OLAMINA 50 MG (POR COMPRIMIDO)";28;56;56;28;56;-;-;224
"0604260016 SACARATO DE HIDROXIDO FERRICO 100 MG INJETAVEL (POR FRASCO DE 5 ML)";55;266;220;172;254;-;-;967
"0604270038 CIPROFIBRATO 100 MG (POR COMPRIMIDO)";540;392;450;391;540;-;-;2313
"0604270054 FENOFIBRATO 200 MG (POR CAPSULA)";120;112;120;90;90;-;-;532
"0604270062 FENOFIBRATO 250 MG (POR CAPSULA DE LIBERACAO RETARDADA)";300;336;360;270;420;-;-;1686
"0604270070 GENFIBROZILA 600 MG (COMPRIMIDO)";84;136;144;84;144;-;-;592
"0604280076 BUDESONIDA 400 MCG (POR CAPSULA INALANTE)";120;344;360;180;360;-;-;1364
"0604290071 LANREOTIDA 90 MG INJETAVEL (POR SERINGA PREENCHIDA)";1;1;1;1;1;-;-;5
"0604310056 IMUNOGLOBULINA HUMANA 5,0 G INJETAVEL (POR FRASCO)";-;29;5;45;5;-;-;84
"0604320019 EVEROLIMO 0,5 MG (POR COMPRIMIDO)¶ÿ";60;60;60;60;60;-;-;300
"0604320027 EVEROLIMO 0,75 MG (POR COMPRIMIDO)¶ÿ";30;30;30;30;-;-;-;120
"0604320035 EVEROLIMO 1 MG (POR COMPRIMIDO)¶ÿ";240;60;210;210;210;-;-;930
"0604320043 LEFLUNOMIDA 20 MG (POR COMPRIMIDO)";1890;1820;2162;1892;2070;-;-;9834
"0604320051 MICOFENOLATO DE MOFETILA 500 MG (POR COMPRIMIDO)";270;270;360;150;300;-;-;1350
"0604320060 MICOFENOLATO DE SODIO 180 MG (POR COMPRIMIDO)";450;360;450;510;620;-;-;2390
"0604320078 MICOFENOLATO DE SODIO 360 MG (POR COMPRIMIDO)";2970;2640;3630;2560;3300;-;-;15100
"0604320086 SIROLIMO 1 MG (POR DRAGEA)";90;90;90;30;90;-;-;390
"0604320094 SIROLIMO 2 MG (POR DRAGEA)";-;-;30;-;-;-;-;30
"0604320116 NATALIZUMABE 300MG (POR FRASCO-AMPOLA)";1;1;-;2;2;-;-;6
"0604320132 FINGOLIMODE 0,5 MG (POR CAPSULA)";314;224;317;282;283;-;-;1420
"0604320140 ABATACEPTE 125 MG INJETAVEL (POR SERINGA PREENCHIDA)";12;16;16;12;12;-;-;68
"0604320159 TOFACITINIBE 5 MG (POR COMPRIMIDO)";600;280;540;540;600;-;-;2560
"0604320167 VEDOLIZUMABE 300 MG PO LIOFILIZADO PARA SOLUCAO INJETAVEL";-;2;-;1;-;-;-;3
"0604320183 BARICITINIBE 4MG (POR COMPRIMIDO)";-;-;-;-;30;-;-;30
"0604330014 ILOPROSTA 10 MCG/ML SOLUCAO PARA NEBULIZACAO (AMPOLA DE 1 ML)";270;-;270;270;270;-;-;1080
"0604330022 CLOPIDOGREL 75 MG (POR COMPRIMIDO)";1916;1652;1973;1833;2006;-;-;9380
"0604340028 CICLOSPORINA 25 MG (POR CAPSULA)";220;-;-;-;-;-;-;220
"0604340036 CICLOSPORINA 50 MG (POR CAPSULA)";360;900;720;900;600;-;-;3480
"0604340044 CICLOSPORINA 100 MG (POR CAPSULA)";180;300;120;60;120;-;-;780
"0604340052 CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML)";2;1;2;2;1;-;-;8
"0604340060 TACROLIMO 1 MG (POR CAPSULA)";1770;1080;1140;1410;1320;-;-;6720
"0604340079 TACROLIMO 5 MG (POR CAPSULA)";-;-;-;-;60;-;-;60
"0604350015 SILDENAFILA 20 MG (POR COMPRIMIDO)";-;-;-;-;180;-;-;180
"0604350023 SILDENAFILA 25 MG (POR COMPRIMIDO)";84;84;-;84;84;-;-;336
"0604350031 SILDENAFILA 50 MG (POR COMPRIMIDO)";160;168;184;90;92;-;-;694
"0604360010 ATORVASTATINA 10 MG (POR COMPRIMIDO)";120;210;180;60;60;-;-;630
"0604360029 ATORVASTATINA 20 MG (POR COMPRIMIDO)";1050;900;1050;960;1110;-;-;5070
"0604360037 ATORVASTATINA 40 MG (POR COMPRIMIDO)";960;1236;1500;1380;1560;-;-;6636
"0604360045  ATORVASTATINA 80 MG (POR COMPRIMIDO)";270;252;330;240;240;-;-;1332
"0604370016 SELEGILINA 5 MG (POR COMPRIMIDO)";110;86;90;60;90;-;-;436
"0604370032 RASAGILINA 1 MG (POR COMPRIMIDO)";30;84;-;-;-;-;-;114
"0604380011 ADALIMUMABE 40 MG INJETAVEL (POR SERINGA PREENCHIDA)";78;74;79;70;78;-;-;379
"0604380020 ETANERCEPTE 25 MG INJETAVEL (POR FRASCO-AMPOLA OU SERINGA PREENCHIDA)";4;-;4;-;-;-;-;8
"0604380038 ETANERCEPTE 50MG INJETAVEL (POR FRASCO-AMPOLA OU SERINGA PREENCHIDA)(ORIGINADOR)";20;36;28;20;24;-;-;128
"0604380046 INFLIXIMABE 10 MG/ML INJETAVEL (POR FRASCO-AMPOLA COM 10 ML)";3;-;3;-;3;-;-;9
"0604380054 INFLIXIMABE 10 MG/ML INJETAVEL (POR FRASCO-AMPOLA COM 10 ML)";29;8;65;27;32;-;-;161
"0604380062 ADALIMUMABE 40 MG INJETAVEL (POR SERINGA PREENCHIDA)";63;48;63;50;65;-;-;289
"0604380070 CERTOLIZUMABE PEGOL 200 MG/ML INJETAVEL (POR SERINGA PREENCHIDA)";34;32;32;30;42;-;-;170
"0604380089 GOLIMUMABE 50 MG INJETAVEL (POR SERINGA PREENCHIDA";17;18;19;18;20;-;-;92
"0604380100 ETANERCEPTE 50 MG INJETAVEL (POR FRASCO-AMPOLA OU SERINGA PREENCHIDA)(BIOSSIMILAR A)";4;8;36;16;28;-;-;92
"0604390084 BETAINTERFERONA 1A 6.000.000 UI (22 MCG) INJETAVEL (POR SERINGA PREENCHIDA)";-;12;12;-;12;-;-;36
"0604390092 BETAINTERFERONA 1A 6.000.000 UI (30 MCG) INJETAVEL (POR FRASCO-AMPOLA, SERINGA PREENCHIDA OU CANETA";4;-;5;4;4;-;-;17
"0604400012 SEVELAMER 800 MG (POR COMPRIMIDO)";1980;360;360;360;540;-;-;3600
"0604410018 METADONA 5 MG (POR COMPRIMIDO)";30;30;60;-;30;-;-;150
"0604410026 METADONA 10 MG (POR COMPRIMIDO)";90;30;210;150;170;-;-;650
"0604420013 FLUDROCORTISONA 0,1 MG (POR COMPRIMIDO)";300;300;200;200;200;-;-;1200
"0604440014 ALFADORNASE 2,5 MG (POR AMPOLA)";30;-;30;30;30;-;-;120
"0604470045 ALFAEPOETINA 4.000 UI INJETAVEL (POR FRASCO-AMPOLA)";456;98;72;220;154;-;-;1000
"0604480016 HIDROXIUREIA 500 MG (POR CAPSULA)";100;100;-;-;-;-;-;200
"0604490011 ENTACAPONA 200 MG (POR COMPRIMIDO)";180;-;30;-;-;-;-;210
"0604500017 GABAPENTINA 300 MG (POR CAPSULA)";4900;5010;5010;5112;5880;-;-;25912
"0604500025 GABAPENTINA 400 MG (POR CAPSULA)";1050;1170;1230;870;870;-;-;5190
"0604500033  LAMOTRIGINA 25 MG (POR COMPRIMIDO)";-;180;180;-;300;-;-;660
"0604500041 LAMOTRIGINA 50 MG (POR COMPRIMIDO)";420;450;360;480;390;-;-;2100
"0604500050 LAMOTRIGINA 100 MG (POR COMPRIMIDO)";855;870;1020;1080;870;-;-;4695
"0604500068 TOPIRAMATO 25 MG (POR COMPRIMIDO)";150;150;150;-;150;-;-;600
"0604500076 TOPIRAMATO 50 MG (POR COMPRIMIDO)";555;435;315;255;390;-;-;1950
"0604500084 TOPIRAMATO 100 MG (POR COMPRIMIDO)";300;270;270;210;210;-;-;1260
"0604500106 LEVETIRACETAM 250 MG (POR COMPRIMIDO)";300;240;360;60;-;-;-;960
"0604500114 LEVETIRACETAM 750 MG (POR COMPRIMIDO)";-;-;-;60;60;-;-;120
"0604500122 LEVETIRACETAM 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 100 ML)";2;-;-;-;1;-;-;3
"0604510012 RISPERIDONA 1 MG (POR COMPRIMIDO)";990;1050;1050;795;1065;-;-;4950
"0604510020 RISPERIDONA 2 MG (POR COMPRIMIDO)";2595;2595;2700;2520;3090;-;-;13500
"0604510039 RISPERIDONA 3 MG (POR COMPRIMIDO)";930;1044;1173;1029;780;-;-;4956
"0604510047 RISPERIDONA 1,0 MG/ML SOLUCAO ORAL (POR FRASCO DE 30 ML)";24;24;31;31;39;-;-;149
"0604520026 GLATIRAMER 40 MG INJETAVEL (POR SERINGA PREENCHIDA)";12;26;-;14;-;-;-;52
"0604530013 AZATIOPRINA 50 MG (POR COMPRIMIDO)";2335;2600;2345;2615;2405;-;-;12300
"0604530021 METOTREXATO 2,5 MG (POR COMPRIMIDO)";708;656;540;684;708;-;-;3296
"0604530030 METOTREXATO 25 MG/ML INJETAVEL (POR AMPOLA DE 2 ML)";46;56;46;54;46;-;-;248
"0604540019 RILUZOL 50 MG (POR COMPRIMIDO)";112;224;224;224;230;-;-;1014
"0604540035 FUMARATO DE DIMETILA 240 MG (POR CAPSULA)";392;336;392;448;398;-;-;1966
"0604540043 TERIFLUNOMIDA 14 MG (POR COMPRIMIDO)";30;28;30;30;30;-;-;148
"0604540078 MEMANTINA 10 MG (POR COMPRIMIDO)";-;-;480;180;540;-;-;1200
"0604550014 TOXINA BOTULINICA TIPO A 100 U INJETAVEL (POR FRASCO-AMPOLA)";3;11;6;-;-;-;-;20
"0604580010 PANCREATINA 10.000 UI (POR CAPSULA)";180;660;660;-;480;-;-;1980
"0604580029 PANCREATINA 25000 UI (POR CAPSULA)";360;180;300;300;300;-;-;1440
"0604590024 ISOTRETINOINA 20 MG (POR CAPSULA)";300;390;345;405;465;-;-;1905
"0604600011 ACITRETINA 10 MG (POR CAPSULA)";60;-;-;90;30;-;-;180
"0604600020 ACITRETINA 25 MG (POR CAPSULA)";360;360;465;480;420;-;-;2085
"0604610017 SOMATROPINA 4 UI INJETAVEL (POR FRASCO-AMPOLA)";25;30;30;40;40;-;-;165
"0604610025 SOMATROPINA 12 UI INJETAVEL (POR FRASCO-AMPOLA)";41;26;41;18;16;-;-;142
"0604620039 CALCITRIOL 0,25 MCG (POR CAPSULA)";750;570;780;750;540;-;-;3390
"0604650019 BIMATOPROSTA 0,3 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 3 ML)";14;11;3;-;2;-;-;30
